vs gh kw
7.403 -11.305 9.675
10.39833 -0.828 19.66
10.48 -2.770833 15.56833
5.560833 -10.60333 6.916833
4.538833 -13.53833 13
14.01 -8.3585 17.25833
2.9655 -3.8295 9.228333
15.225 -5.330167 18.39333
27.63167 17.13167 36.70833
41.865 30.185 56.07333
16.32167 15.125 5.217
8.264 -15.56 17.04
11.28 10.17333 7.290667
10.59667 -9.848333 17.7
25.90667 9.38 30.69667
51.58333 28.70167 54.77
39.59667 30.58833 47.35667
35.61333 31.43167 32.07
30.67333 13.495 30.92333
10.15833 14.97 14.925
6.466667 6.701333 -8.733333
22.82833 20.775 28.31667
25.81167 21.29 34.91167
30.04167 8.4555 38.14667
33.86333 19.59167 40.93833
27.14167 14.755 23.56
-23.66667 -4.7455 6.579833
34.935 15.12833 40.75667
8.145333 -3.437833 -7.046333
